Mine Name,Mine_Type,Overall_Risk_Score,Risk_Category,Risk_Drivers,Confidence_Score,Inspection_Priority,AI_Preventive_Recommendation
Ananta OCP,Opencast,64.89537209080046,HIGH,Operational indicator,60.0,MEDIUM,Review recent production trends and investigate unusual operational deviations. Prioritize further assessment and focused inspection based on the identified risk indicators.
ARA Reorganisation,Opencast,,Insufficient Evidence,No major risk indicator,0.0,INSUFFICIENT EVIDENCE,Collect additional evidence before making a risk-based inspection decision.
Ashoka,Opencast,25.92426997672876,LOW,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. No immediate high-risk indicator detected; continue routine monitoring.
Badjna Colliery,Mixed,4.48408922338629,LOW,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. No immediate high-risk indicator detected; continue routine monitoring.
Bagdeva,Underground,6.170395574772775,LOW,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. No immediate high-risk indicator detected; continue routine monitoring.
Bahula Colliery,Underground,4.965891038068143,LOW,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. No immediate high-risk indicator detected; continue routine monitoring.
Ballarpur 3 & 4 Pits,Underground,5.929494667431845,LOW,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. No immediate high-risk indicator detected; continue routine monitoring.
Ballarpur OCM,Opencast,7.80185705100095,LOW,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. No immediate high-risk indicator detected; continue routine monitoring.
Balram OCP,Opencast,4.965891038068143,LOW,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. No immediate high-risk indicator detected; continue routine monitoring.
Balrampur,Underground,4.484089223386293,LOW,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. No immediate high-risk indicator detected; continue routine monitoring.
Bangwar,Underground,4.965891038068143,LOW,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. No immediate high-risk indicator detected; continue routine monitoring.
Bankola Colliery,Underground,5.688593760090923,LOW,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. No immediate high-risk indicator detected; continue routine monitoring.
Bansra Colliery,Mixed,5.929494667431849,LOW,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. No immediate high-risk indicator detected; continue routine monitoring.
Baranj,Opencast,16.474289715274296,LOW,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. No immediate high-risk indicator detected; continue routine monitoring.
Barjora (North) Coal Mine,Opencast,26.40607179141058,LOW,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. No immediate high-risk indicator detected; continue routine monitoring.
Barmuri,Opencast,4.7249901307272175,LOW,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. No immediate high-risk indicator detected; continue routine monitoring.
Baroud OC,Opencast,11.897172475796705,LOW,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. No immediate high-risk indicator detected; continue routine monitoring.
Bartarai,Underground,4.7249901307272175,LOW,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. No immediate high-risk indicator detected; continue routine monitoring.
Basantimata -Dahibari,Opencast,6.893098296795552,LOW,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. No immediate high-risk indicator detected; continue routine monitoring.
Basdeopur,Opencast,4.965891038068143,LOW,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. No immediate high-risk indicator detected; continue routine monitoring.
Bastacolla,Opencast,2.0202352748187176,LOW,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. No immediate high-risk indicator detected; continue routine monitoring.
Basundhara (West) OCP,Opencast,,Insufficient Evidence,No major risk indicator,0.0,INSUFFICIENT EVIDENCE,Collect additional evidence before making a risk-based inspection decision.
Behraband,Underground,4.00228740870444,LOW,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. No immediate high-risk indicator detected; continue routine monitoring.
Bejdih Colliery,Underground,4.965891038068143,LOW,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. No immediate high-risk indicator detected; continue routine monitoring.
Belbaid Colliery,Underground,4.965891038068143,LOW,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. No immediate high-risk indicator detected; continue routine monitoring.
Belgaon Coal Mine,Underground,,Insufficient Evidence,No major risk indicator,0.0,INSUFFICIENT EVIDENCE,Collect additional evidence before making a risk-based inspection decision.
Bhadra,Underground,5.688593760090923,LOW,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. No immediate high-risk indicator detected; continue routine monitoring.
Bhanegaon OCM,Opencast,13.101677012501325,LOW,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. No immediate high-risk indicator detected; continue routine monitoring.
Bhanora West Block colliery & Bhanora OC patch (H),Mixed,4.965891038068143,LOW,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. No immediate high-risk indicator detected; continue routine monitoring.
Bharatpur OCP,Opencast,,Insufficient Evidence,No major risk indicator,0.0,INSUFFICIENT EVIDENCE,Collect additional evidence before making a risk-based inspection decision.
Bhatadi OC Mine,Opencast,19.901747293205577,LOW,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. No immediate high-risk indicator detected; continue routine monitoring.
Bhatgaon,Underground,5.929494667431849,LOW,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. No immediate high-risk indicator detected; continue routine monitoring.
Bhelatand Colliery,Underground,,Insufficient Evidence,No major risk indicator,0.0,INSUFFICIENT EVIDENCE,Collect additional evidence before making a risk-based inspection decision.
Bhowra(S),Opencast,3.465640718864275,LOW,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. No immediate high-risk indicator detected; continue routine monitoring.
Bhubaneswari OCP,Opencast,100.0,CRITICAL,"Operational indicator, Peer production anomaly",60.0,HIGH,Review recent production trends and investigate unusual operational deviations. Compare production activity with similar mines and review the cause of significant peer deviation. Prioritize focused inspection and immediate further assessment of the identified risk indicators.
Bhurkunda,Underground,,Insufficient Evidence,No major risk indicator,0.0,INSUFFICIENT EVIDENCE,Collect additional evidence before making a risk-based inspection decision.
Bhurkunda (Sangum),Opencast,11.470215536273152,LOW,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. No immediate high-risk indicator detected; continue routine monitoring.
Bicharpur,Underground,4.429244348227983,LOW,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. No immediate high-risk indicator detected; continue routine monitoring.
Bijari OC,Opencast,15.510686085910594,LOW,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. No immediate high-risk indicator detected; continue routine monitoring.
Bijuri,Underground,6.170395574772775,LOW,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. No immediate high-risk indicator detected; continue routine monitoring.
Bina Extn,Opencast,4.965891038068143,LOW,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. No immediate high-risk indicator detected; continue routine monitoring.
Block-B Project,Opencast,4.965891038068143,LOW,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. No immediate high-risk indicator detected; continue routine monitoring.
Bokaro OC (Bermo),Opencast,4.48408922338629,LOW,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. No immediate high-risk indicator detected; continue routine monitoring.
Bonjemehari OC (Extn),Opencast,,Insufficient Evidence,No major risk indicator,0.0,INSUFFICIENT EVIDENCE,Collect additional evidence before making a risk-based inspection decision.
C L Jambad OCP,Opencast,,Insufficient Evidence,No major risk indicator,0.0,INSUFFICIENT EVIDENCE,Collect additional evidence before making a risk-based inspection decision.
Central Kajora Colliery,Underground,5.447692852749995,LOW,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. No immediate high-risk indicator detected; continue routine monitoring.
Central Saunda,Underground,,Insufficient Evidence,No major risk indicator,0.0,INSUFFICIENT EVIDENCE,Collect additional evidence before making a risk-based inspection decision.
Chainpur(Sarubera) Colly.,Opencast,4.965891038068143,LOW,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. No immediate high-risk indicator detected; continue routine monitoring.
Chanda Rayatwari Colliery,Underground,,Insufficient Evidence,No major risk indicator,0.0,INSUFFICIENT EVIDENCE,Collect additional evidence before making a risk-based inspection decision.
Chapapur-II & Chappapur 10 Quarry (OC),Mixed,,Insufficient Evidence,No major risk indicator,0.0,INSUFFICIENT EVIDENCE,Collect additional evidence before making a risk-based inspection decision.
Chapuikhas Colliery,Underground,4.965891038068143,LOW,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. No immediate high-risk indicator detected; continue routine monitoring.
Chasnalla Colliery,Underground,4.002287408704437,LOW,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. No immediate high-risk indicator detected; continue routine monitoring.
Chatti Bariatu Coal Mining Project,Opencast,,Insufficient Evidence,No major risk indicator,0.0,INSUFFICIENT EVIDENCE,Collect additional evidence before making a risk-based inspection decision.
Chhal OC,Opencast,,Insufficient Evidence,No major risk indicator,0.0,INSUFFICIENT EVIDENCE,Collect additional evidence before making a risk-based inspection decision.
Chhatarpur -II,Underground,6.893098296795555,LOW,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. No immediate high-risk indicator detected; continue routine monitoring.
Chhatarpur 1,Underground,0.815730738114085,LOW,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. No immediate high-risk indicator detected; continue routine monitoring.
Chhinda,Opencast,,Insufficient Evidence,No major risk indicator,0.0,INSUFFICIENT EVIDENCE,Collect additional evidence before making a risk-based inspection decision.
Chinakuri Mine III,Underground,,Insufficient Evidence,No major risk indicator,0.0,INSUFFICIENT EVIDENCE,Collect additional evidence before making a risk-based inspection decision.
Chirimiri,Opencast,1.29753255279594,LOW,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. No immediate high-risk indicator detected; continue routine monitoring.
Chitra East OCP,Opencast,12.619875197819477,LOW,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. No immediate high-risk indicator detected; continue routine monitoring.
Chora 10 Pit Colliery,Underground,4.965891038068143,LOW,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. No immediate high-risk indicator detected; continue routine monitoring.
Chora 7&9 Pits Colliery,Underground,4.965891038068143,LOW,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. No immediate high-risk indicator detected; continue routine monitoring.
Chora Block Incline UG & Shankarpur OC & Banbahal OC,Mixed,,Insufficient Evidence,No major risk indicator,0.0,INSUFFICIENT EVIDENCE,Collect additional evidence before making a risk-based inspection decision.
Churcha RO,Underground,,Insufficient Evidence,Peer production anomaly,0.0,INSUFFICIENT EVIDENCE,Review recent production trends and investigate unusual operational deviations. Compare production activity with similar mines and review the cause of significant peer deviation. Collect additional evidence before making a risk-based inspection decision.
Dabor Ph-II & III OC,Opencast,0.870575613272395,LOW,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. No immediate high-risk indicator detected; continue routine monitoring.
Dakra Bukbuka OC,Opencast,,Insufficient Evidence,No major risk indicator,0.0,INSUFFICIENT EVIDENCE,Collect additional evidence before making a risk-based inspection decision.
Dalurband OC,Opencast,,Insufficient Evidence,No major risk indicator,0.0,INSUFFICIENT EVIDENCE,Collect additional evidence before making a risk-based inspection decision.
Damini,Underground,5.20679194540907,LOW,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. No immediate high-risk indicator detected; continue routine monitoring.
Damoda,Opencast,4.002287408704437,LOW,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. No immediate high-risk indicator detected; continue routine monitoring.
Dhankasa & Jamunia,Underground,4.965891038068143,LOW,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. No immediate high-risk indicator detected; continue routine monitoring.
Dhanpuri,Opencast,14.36102642436427,LOW,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. No immediate high-risk indicator detected; continue routine monitoring.
Dhelwadih Colliery,Underground,4.7249901307272175,LOW,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. No immediate high-risk indicator detected; continue routine monitoring.
Dhemomain Incl Colliery,Underground,4.965891038068143,LOW,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. No immediate high-risk indicator detected; continue routine monitoring.
Dhemomain Pit Colliery,Underground,4.965891038068143,LOW,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. No immediate high-risk indicator detected; continue routine monitoring.
Dhoptala OC (Sasti Colliery),Opencast,18.642397881342635,LOW,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. No immediate high-risk indicator detected; continue routine monitoring.
Dhori Khas(UG),Underground,4.7249901307272175,LOW,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. No immediate high-risk indicator detected; continue routine monitoring.
Dipka,Opencast,26.366646200608315,LOW,Peer production anomaly,100.0,LOW,Increase environmental monitoring and investigate potential sources of elevated pollutant levels. Review recent production trends and investigate unusual operational deviations. Compare production activity with similar mines and review the cause of significant peer deviation. No immediate high-risk indicator detected; continue routine monitoring.
Dubeswari Colliery,Underground,4.965891038068143,LOW,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. No immediate high-risk indicator detected; continue routine monitoring.
Dudhichua Project,Opencast,42.49158770809432,MEDIUM,No major risk indicator,60.0,MEDIUM,Review recent production trends and investigate unusual operational deviations. Continue monitoring and conduct a focused review of the identified risk indicators.
Dulanga Coal Mining Project,Opencast,4.965891038068143,LOW,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. No immediate high-risk indicator detected; continue routine monitoring.
Durgapur Open Cast,Opencast,13.583478827183182,LOW,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. No immediate high-risk indicator detected; continue routine monitoring.
Durgapur Rayatwari Colly,Underground,4.965891038068143,LOW,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. No immediate high-risk indicator detected; continue routine monitoring.
DVC Tubed Mines,Opencast,30.928344155729874,MEDIUM,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. Continue monitoring and conduct a focused review of the identified risk indicators.
E.Basuria,Opencast,,Insufficient Evidence,No major risk indicator,0.0,INSUFFICIENT EVIDENCE,Collect additional evidence before making a risk-based inspection decision.
Ena,Opencast,5.874649792273543,LOW,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. No immediate high-risk indicator detected; continue routine monitoring.
G & G B Coal Mine,Opencast,38.396272283298586,MEDIUM,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. Continue monitoring and conduct a focused review of the identified risk indicators.
Gare Palma IV 6,Opencast,,Insufficient Evidence,No major risk indicator,0.0,INSUFFICIENT EVIDENCE,Collect additional evidence before making a risk-based inspection decision.
Gare Palma IV-2&3,Opencast,,Insufficient Evidence,No major risk indicator,0.0,INSUFFICIENT EVIDENCE,Collect additional evidence before making a risk-based inspection decision.
Gare Palma IV/1,Opencast,,Insufficient Evidence,No major risk indicator,0.0,INSUFFICIENT EVIDENCE,Collect additional evidence before making a risk-based inspection decision.
Gare Palma IV/2&3,Opencast,50.496162525503216,MEDIUM,No major risk indicator,60.0,MEDIUM,Review recent production trends and investigate unusual operational deviations. Continue monitoring and conduct a focused review of the identified risk indicators.
Gare Palma IV/7,Opencast,0.815730738114085,LOW,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. No immediate high-risk indicator detected; continue routine monitoring.
Gare Palma Sector III,Opencast,4.188343440887053,LOW,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. No immediate high-risk indicator detected; continue routine monitoring.
Garjanbahal OCP,Opencast,16.95609152995615,LOW,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. No immediate high-risk indicator detected; continue routine monitoring.
Gayatri,Underground,4.42924434822798,LOW,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. No immediate high-risk indicator detected; continue routine monitoring.
Gevra,Opencast,77.86164042293184,HIGH,"Environmental indicator, Operational indicator, Peer production anomaly",100.0,URGENT,Increase environmental monitoring and investigate potential sources of elevated pollutant levels. Review recent production trends and investigate unusual operational deviations. Compare production activity with similar mines and review the cause of significant peer deviation. Prioritize further assessment and focused inspection based on the identified risk indicators.
"Ghonsa,",Opencast,1.5932783352951774,LOW,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. No immediate high-risk indicator detected; continue routine monitoring.
Gidi `A',Opencast,1.29753255279594,LOW,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. No immediate high-risk indicator detected; continue routine monitoring.
Gidi `C',Opencast,2.0750801499770275,LOW,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. No immediate high-risk indicator detected; continue routine monitoring.
Giridih OC,Opencast,9.78390918488667,LOW,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. No immediate high-risk indicator detected; continue routine monitoring.
Godavari Khani 1 & 3,Underground,5.206791945409067,LOW,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. No immediate high-risk indicator detected; continue routine monitoring.
Godavari Khani-11 Incline,Underground,10.506611906909445,LOW,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. No immediate high-risk indicator detected; continue routine monitoring.
Godavari Khani-2 & 2A,Underground,5.447692852749995,LOW,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. No immediate high-risk indicator detected; continue routine monitoring.
Godavarikhani V OC,Opencast,,Insufficient Evidence,No major risk indicator,0.0,INSUFFICIENT EVIDENCE,Collect additional evidence before making a risk-based inspection decision.
Gokul OC Mine + Gokul Extn.,Opencast,6.652197389454623,LOW,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. No immediate high-risk indicator detected; continue routine monitoring.
Gondudih/Khas Kusunda,Opencast,,Insufficient Evidence,No major risk indicator,0.0,INSUFFICIENT EVIDENCE,Collect additional evidence before making a risk-based inspection decision.
Gopalichuck,Opencast,0.388773798590545,LOW,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. No immediate high-risk indicator detected; continue routine monitoring.
Gopinathpur,Opencast,5.20679194540907,LOW,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. No immediate high-risk indicator detected; continue routine monitoring.
Gotitoria E & W,Opencast,,Insufficient Evidence,No major risk indicator,0.0,INSUFFICIENT EVIDENCE,Collect additional evidence before making a risk-based inspection decision.
Gourangdi-A OCP,Opencast,,Insufficient Evidence,No major risk indicator,0.0,INSUFFICIENT EVIDENCE,Collect additional evidence before making a risk-based inspection decision.
Gourangdih Extn OC,Opencast,,Insufficient Evidence,No major risk indicator,0.0,INSUFFICIENT EVIDENCE,Collect additional evidence before making a risk-based inspection decision.
Gouri -Pauni(A) OCM,Opencast,35.98726320988932,MEDIUM,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. Continue monitoring and conduct a focused review of the identified risk indicators.
Gouri Deep,Opencast,9.302107370204816,LOW,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. No immediate high-risk indicator detected; continue routine monitoring.
Gouthampur Khani OCP,Opencast,16.047332775750753,LOW,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. No immediate high-risk indicator detected; continue routine monitoring.
Govindpur,Underground,5.206791945409067,LOW,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. No immediate high-risk indicator detected; continue routine monitoring.
Govindpur Ph-II OCP,Opencast,,Insufficient Evidence,No major risk indicator,0.0,INSUFFICIENT EVIDENCE,Collect additional evidence before making a risk-based inspection decision.
GP-IV-8 Coal Mine,Underground,10.9884137215913,LOW,Peer production anomaly,60.0,LOW,Review recent production trends and investigate unusual operational deviations. Compare production activity with similar mines and review the cause of significant peer deviation. No immediate high-risk indicator detected; continue routine monitoring.
Haldibari,Underground,,Insufficient Evidence,No major risk indicator,0.0,INSUFFICIENT EVIDENCE,Collect additional evidence before making a risk-based inspection decision.
Hariajam,Underground,4.7249901307272175,LOW,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. No immediate high-risk indicator detected; continue routine monitoring.
Hindustan Lalpeth Colliery No.1,Underground,4.965891038068143,LOW,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. No immediate high-risk indicator detected; continue routine monitoring.
Hindustan Lalpeth OC,Opencast,4.965891038068143,LOW,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. No immediate high-risk indicator detected; continue routine monitoring.
Hingula OCP,Opencast,11.415370661114835,LOW,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. No immediate high-risk indicator detected; continue routine monitoring.
Hirakhand Bundia Mine,Underground,4.7249901307272175,LOW,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. No immediate high-risk indicator detected; continue routine monitoring.
Hurra C,Opencast,39.118975005321374,MEDIUM,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. Continue monitoring and conduct a focused review of the identified risk indicators.
"Indaram Khani-1A, Incline",Underground,11.71111644361408,LOW,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. No immediate high-risk indicator detected; continue routine monitoring.
Indaram Khani-OC,Opencast,11.71111644361408,LOW,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. No immediate high-risk indicator detected; continue routine monitoring.
Int. Lakhanpur-Belpahar-Lilari OCP,Opencast,,Insufficient Evidence,Peer production anomaly,0.0,INSUFFICIENT EVIDENCE,Review recent production trends and investigate unusual operational deviations. Compare production activity with similar mines and review the cause of significant peer deviation. Collect additional evidence before making a risk-based inspection decision.
Itapara OC Patch,Opencast,7.13399920413648,LOW,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. No immediate high-risk indicator detected; continue routine monitoring.
J. K. Nagar Colliery,Underground,5.447692852749995,LOW,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. No immediate high-risk indicator detected; continue routine monitoring.
Jaganathpur,Opencast,8.765460680364663,LOW,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. No immediate high-risk indicator detected; continue routine monitoring.
Jagannath Re-org OCP,Opencast,,Insufficient Evidence,No major risk indicator,0.0,INSUFFICIENT EVIDENCE,Collect additional evidence before making a risk-based inspection decision.
Jalagam Vengala Rao OC-2,Opencast,20.810506047410986,LOW,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. No immediate high-risk indicator detected; continue routine monitoring.
Jalipa,Opencast,,Insufficient Evidence,No major risk indicator,0.0,INSUFFICIENT EVIDENCE,Collect additional evidence before making a risk-based inspection decision.
Jamadoba Colliery,Mixed,8.579404648182038,LOW,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. No immediate high-risk indicator detected; continue routine monitoring.
Jambad OCP,Opencast,7.61580101881833,LOW,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. No immediate high-risk indicator detected; continue routine monitoring.
